,cM,iM,ncM,actM,compM,Mac1,Mac2,cDC1,cDC2,pDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
cM,1.0,0.2452449997943453,-0.6686652878589661,0.001217323331116857,-0.3530760504628458,0.8380761680649359,-0.12482779672581844,-0.1830993980902074,-0.03818653027272281,-0.24224817183228042,0.46249255444452086,-0.1600416900165898,0.37916330606722515,-0.005733130120442943,-0.2799435918447057,-0.006106720338263123,-0.14263097337847153,-0.028723435256523194,0.07751419586039025,0.6283102410217293,-0.4306578133508332,-0.11829314069620514,-0.2968437650782546,0.4257032120713931,0.0072561795170898976,-0.1001864333075379,-0.1824248384357896,-0.11397430709563068,-0.14598528580716696,-0.2610504078271237,0.1944924813497389,-0.17910340209028347,-0.26327990092170284,-0.06474963750760653,0.07833070295414567,0.14720814344879432,-0.07186890037982634,-0.08809119427044582,0.27243991623532327,-0.0022546809764932133
iM,0.2452449997943453,1.0,-0.4835849005006136,-0.38067829405084885,-0.270419263305415,0.45258025255974665,-0.1242876749563594,0.1797819903832931,0.17437483040001234,-0.18966210989600057,0.4802436731105152,-0.07461347516550222,0.02444513128727906,0.05318812886614208,0.007101621302464134,0.005240452404994394,-0.11268914887608492,-0.04262598557482539,0.031257282369660695,0.030083329920446683,-0.3618210492952437,0.01781848906853962,-0.004261228123766545,-0.026683264786733808,-0.1168143822006645,0.00025106933582601536,0.20413332266282236,-0.031333739868134695,-0.09578382840644967,-0.0040394155543687265,0.16357238403739968,-0.18271127765748824,-0.24575234389945352,-0.1451687517654454,0.061831913666174666,0.02768235596839561,-0.07980805555509593,-0.10729929444209137,0.10890105974739116,0.011314809089106894
ncM,-0.6686652878589661,-0.4835849005006136,1.0,-0.08425148923154388,0.4282537562068028,-0.7456216086259083,0.13379233454593326,-0.32737283851701066,-0.25225906045096086,-0.15900240987705033,-0.27321821427636495,0.0917512552501244,-0.11399231538638903,-0.045903892314489006,0.02790785108014182,-0.056599957362555756,0.12151528586693162,-0.030811909284989777,-0.048778558663911877,-0.3631230163079902,0.8478039020792651,0.031179569488640983,0.0024675706747391978,-0.23137819951646427,0.01185241802302462,0.04737128691924278,-0.29247564031733975,0.04016080740528849,0.003602142755593304,0.03997126421764202,0.013896647281071935,-0.16006440665499394,0.3676881933422844,-0.024022831357757762,-0.08157823123469024,-0.09386123671276414,-0.018248239279698278,-0.08334779548210206,-0.2852352365053183,-0.09549968807888798
actM,0.001217323331116857,-0.38067829405084885,-0.08425148923154388,1.0,-0.06909632015068004,0.17492007306305474,-0.04706493489357687,0.039889597975143604,0.017989070075816283,-0.2929936007521484,-0.22696839230499707,0.036028699417386054,0.2324850326728769,-0.06645536622140397,-0.043978796418535755,-0.06155742381525156,-0.014209231179812537,-0.0006412521099205585,-0.07029515564979602,0.31627219085079494,-0.15436194657664978,-0.060331741189454724,-0.044223723693984925,0.3346854874541999,0.05916430389786011,-0.01928178761552986,-0.055370770240834324,0.012980790533764544,0.0020863325875324188,-0.017443528616188957,0.00014060703306884947,-0.2727953848966372,-0.05305795797858224,0.1095642650440115,0.033157616735448835,-0.09919695991923502,-0.0783280572528095,-0.04575921118080826,0.28715575306483,-0.03973442378163502
compM,-0.3530760504628458,-0.270419263305415,0.4282537562068028,-0.06909632015068004,1.0,-0.4003987181893872,0.058229756813343594,-0.1956375082002452,-0.16599239000215565,-0.13593132038433964,-0.15440385220768363,0.04915666015551379,-0.08213615380849958,-0.025948210329807472,0.011069010650337543,-0.018071199320267996,0.048001441224154937,-0.010362469315322463,0.005620691844794618,-0.20594087345508622,0.37160504743189715,0.027208444472114353,-0.016128295454288653,-0.12653682642668143,0.00854680570904653,0.02925922890879907,-0.1938010283959159,0.0022153311388474132,-0.00017448206324225608,0.0012638397257685448,0.03153048600287191,-0.13641311861641928,0.9593067105703609,-0.046861542334548055,-0.04795964463150768,-0.03520401540309913,0.728812090180458,-0.08251912873439668,-0.23780077216798473,-0.0829037547732129
Mac1,0.8380761680649359,0.45258025255974665,-0.7456216086259083,0.17492007306305474,-0.4003987181893872,1.0,-0.16351093760114285,-0.07493823270256972,0.028581298325638264,-0.28482412954184944,0.43215888454628315,-0.1342819576413105,0.35615430856805186,-0.0032591924605938813,-0.18145132801550548,-0.020433495107197667,-0.15816570180948117,-0.030919253203903648,0.008750756212107769,0.5605288389042332,-0.54136929032088,-0.08816351598588777,-0.1977724933577896,0.3624098671645565,-0.05486619337383292,-0.05528767526159603,-0.07457899071988693,-0.11162558690154842,-0.12164338909265036,-0.1777811165538501,0.18649515506667746,-0.23813994815411263,-0.321346999879753,-0.06476158338155108,0.10530157271950868,0.026552456623000518,-0.11104382018969662,-0.09147330053608929,0.40337898591398197,-0.013343105896114227
Mac2,-0.12482779672581844,-0.1242876749563594,0.13379233454593326,-0.04706493489357687,0.058229756813343594,-0.16351093760114285,1.0,-0.08644187112157804,-0.0167281380587198,0.004861915005700669,-0.07414738875692795,-0.022525496125214834,-0.07557781995540776,0.04420906330471294,0.03133256135033756,0.1290595991630077,0.005498652181359736,0.007644326813496193,0.06606966541487722,-0.19360640179367433,0.121326736611931,0.011218032841069057,0.05890496048807378,-0.1398577449060842,0.2574572549013744,-0.11699307784263735,-0.05583112514653557,0.08678436253920373,0.13710200455794605,0.046455507226332064,0.18579943455047593,0.023564662866722284,0.0592334614242446,0.19164755639158376,-0.131700930804524,0.06058869934344863,0.042674372675181,0.04384297378593303,-0.051201041690343105,0.02213534141520024
cDC1,-0.1830993980902074,0.1797819903832931,-0.32737283851701066,0.039889597975143604,-0.1956375082002452,-0.07493823270256972,-0.08644187112157804,1.0,0.23417902560967452,0.04920340764934683,-0.0886061407920127,0.05600097272735734,-0.16816272296167564,0.033626962510892554,0.17936888848657662,-0.008856374475079242,-0.021051858073395845,-0.03583935077318114,-0.00456459269011608,-0.16361325445327438,-0.39322220319054413,0.09178663380845854,0.21001892658638568,-0.10111996783385721,0.047122046046901574,0.02376126734175044,0.912343893878759,0.04982645081033115,0.02387890232683698,0.2638294990699038,-0.020976215634518063,0.02771795331219684,-0.21708228426191833,0.008727574241687073,-0.005217700736717801,-0.019234650961604267,-0.04946210953798497,-0.02699792961590717,-0.10885910165105066,0.08704378002423
cDC2,-0.03818653027272281,0.17437483040001234,-0.25225906045096086,0.017989070075816283,-0.16599239000215565,0.028581298325638264,-0.0167281380587198,0.23417902560967452,1.0,0.1569932322606974,-0.06685288675280565,0.05268709517447646,-0.12500883567073873,0.02066038823538929,0.17311716763753202,-0.0029609356553845848,-0.0259408811970739,0.09448343946715294,-0.07561903431873036,-0.10029311762583076,-0.3367789497351177,0.0617577625904394,0.19150308531381205,-0.11998288206895293,0.02840952460050175,0.007666533991556475,0.16811463147502448,0.033296331168973695,0.08769963262232848,0.22326099309235803,-0.09444230979326299,0.16299750570932053,-0.20506175484673075,0.12459562373155907,0.04738982146438444,-0.03472584911157066,-0.07712837466895518,0.07935134452205662,0.07058315619552326,0.09039605631955748
pDC,-0.24224817183228042,-0.18966210989600057,-0.15900240987705033,-0.2929936007521484,-0.13593132038433964,-0.28482412954184944,0.004861915005700669,0.04920340764934683,0.1569932322606974,1.0,-0.3302961816061179,0.058115326478247756,-0.38702274342108467,0.06673680418676468,0.2345747854065909,0.13825314382927117,0.10840119573135433,0.14843169558190877,-0.0015034327947948093,-0.3346070473784785,-0.22683801869862288,0.07048920222102624,0.29593073759352934,-0.3064658171300798,-0.030931191931949823,0.06263626654082127,0.09376166124048312,0.06457262780959895,0.24130061512090928,0.1284101962190347,-0.4553615064539942,0.9049878808903884,-0.1657490097237229,0.15523617284808247,-0.02299734840648392,0.026814654800210225,0.04200313701871043,0.42413813310437504,-0.08609061935901045,0.14831056733776551
0,0.46249255444452086,0.4802436731105152,-0.27321821427636495,-0.22696839230499707,-0.15440385220768363,0.43215888454628315,-0.07414738875692795,-0.0886061407920127,-0.06685288675280565,-0.3302961816061179,1.0,-0.48106682980249194,0.7778479853468441,-0.3817183449616431,-0.22618564563565172,-0.35216280576427833,-0.4077466358663153,-0.4548093863682244,0.10015379647533867,0.6615957824206328,0.11639874895028389,-0.45839717845330646,-0.3597666539962749,0.5125343781173566,-0.20719171614646106,-0.47427810100190015,-0.10363047074780975,-0.39798346492374426,-0.7136682588518148,-0.17368916791457617,0.17956787239018013,-0.15084911082569785,0.009991116484456799,-0.5891114770234617,-0.03062481291906003,0.04489819184709653,-0.15856513509528603,-0.3555998506639319,0.015354686458197583,-0.23155546955698111
1,-0.1600416900165898,-0.07461347516550222,0.0917512552501244,0.036028699417386054,0.04915666015551379,-0.1342819576413105,-0.022525496125214834,0.05600097272735734,0.05268709517447646,0.058115326478247756,-0.48106682980249194,1.0,-0.4483726804473302,0.08066550860295676,-0.36601598717638206,-0.11139457409650676,0.7451159946673803,0.07488996141768622,-0.46662888382311163,-0.3588053898139577,-0.0988108502225134,0.521860524322027,-0.2065569944518665,-0.3614982253790597,-0.12445600665869352,0.5141606141183865,0.17669109885837173,0.5135243013300477,0.3072164180606775,-0.20618697494853366,-0.03665371279801786,-0.009542989113018414,-0.020048585978207828,0.6840952472060665,0.061593817153315515,-0.17256088523618418,-0.08606466773619201,0.10743946637272866,-0.17769704675283043,0.1171509136061275
2,0.37916330606722515,0.02444513128727906,-0.11399231538638903,0.2324850326728769,-0.08213615380849958,0.35615430856805186,-0.07557781995540776,-0.16816272296167564,-0.12500883567073873,-0.38702274342108467,0.7778479853468441,-0.4483726804473302,1.0,-0.5081974640876544,-0.2636766705580815,-0.4899876293509682,-0.37940107720110144,-0.5551309564264267,-0.008275291410071125,0.8670920931399927,0.23489424311887983,-0.5229914744557003,-0.4055151269678117,0.6778355326879144,-0.23949622921553104,-0.5041329193009259,-0.241347224176717,-0.4105217085163546,-0.7933076342751152,-0.18675717933107477,0.14558104075279804,-0.18493518215493843,0.10685179722319317,-0.5675896972789543,-0.08391682919875068,-0.19084263610314647,-0.2076585156282593,-0.3646585408318591,0.11322207134701356,-0.30795824672993694
3,-0.005733130120442943,0.05318812886614208,-0.045903892314489006,-0.06645536622140397,-0.025948210329807472,-0.0032591924605938813,0.04420906330471294,0.033626962510892554,0.02066038823538929,0.06673680418676468,-0.3817183449616431,0.08066550860295676,-0.5081974640876544,1.0,-0.18393938756599165,0.7427450201596802,-0.08243681162082808,0.6423765066196699,0.4880913597585448,-0.3721756227119126,-0.27245257140635903,0.4747112658795348,-0.05202873894240132,-0.3160594410907517,0.7335472485146661,0.47858032195664846,-0.03995727677348054,0.06828511508998762,0.808525272082096,-0.1983002696538787,-0.046662956109495654,-0.028296196067041004,-0.16062330992402452,0.32126923127571677,-0.006549781234149873,0.4172769458751206,0.3351441719192943,0.12789857086518305,-0.24216233091352213,0.1237326444711523
4,-0.2799435918447057,0.007101621302464134,0.02790785108014182,-0.043978796418535755,0.011069010650337543,-0.18145132801550548,0.03133256135033756,0.17936888848657662,0.17311716763753202,0.2345747854065909,-0.22618564563565172,-0.36601598717638206,-0.2636766705580815,-0.18393938756599165,1.0,-0.07126939059881635,-0.3379071257689506,-0.07724536910458747,-0.14686675878409752,-0.3446774647236082,-0.09879422644395476,-0.23843393281754724,0.8150904208008328,-0.2563200899133939,-0.16110796313542397,-0.2681457896177364,0.14382066594184395,-0.2550038740185074,-0.019110237685591745,0.6996798428547027,-0.06580430192700513,0.13491434757671597,-0.05703081548585024,-0.16687207310214822,-0.02797215417771317,-0.07118670677018514,-0.05880244383780729,0.24350188307500384,0.4707237306638016,0.08454556293464822
5,-0.006106720338263123,0.005240452404994394,-0.056599957362555756,-0.06155742381525156,-0.018071199320267996,-0.020433495107197667,0.1290595991630077,-0.008856374475079242,-0.0029609356553845848,0.13825314382927117,-0.35216280576427833,-0.11139457409650676,-0.4899876293509682,0.7427450201596802,-0.07126939059881635,1.0,-0.208260539466305,0.8266406890265681,0.7929773847361146,-0.3418207909905219,-0.2611285524378673,0.2942648715596149,0.024035692696100373,-0.29425661204669945,0.7325559436921477,0.183785310256693,-0.07519970633735273,-0.04571843781854225,0.8064823132259755,-0.18254145085904896,-0.066967138894538,0.020864764253061507,-0.15179135139274325,0.19063015030207398,0.04502332861602539,0.49538358815174505,0.44860821637132375,0.1438090969634489,-0.20398488796671072,0.1993252489055755
6,-0.14263097337847153,-0.11268914887608492,0.12151528586693162,-0.014209231179812537,0.048001441224154937,-0.15816570180948117,0.005498652181359736,-0.021051858073395845,-0.0259408811970739,0.10840119573135433,-0.4077466358663153,0.7451159946673803,-0.37940107720110144,-0.08243681162082808,-0.3379071257689506,-0.208260539466305,1.0,-0.06469771852046785,-0.544768504743016,-0.29737399908763545,-0.0077437501601960255,0.20726852624826453,-0.19822727995396877,-0.30113118695955104,-0.3175286160000536,0.4018126337632259,0.16256406925533645,0.7323826799240168,0.16668908294369122,-0.20777973069218195,0.008154690366097022,0.027182346891547696,0.012428204221203405,0.5280084555447665,0.0826974559086868,-0.2072672705166409,-0.1455215307398143,0.08335413677924332,-0.12415218877093269,0.12801053617337826
7,-0.028723435256523194,-0.04262598557482539,-0.030811909284989777,-0.0006412521099205585,-0.010362469315322463,-0.030919253203903648,0.007644326813496193,-0.03583935077318114,0.09448343946715294,0.14843169558190877,-0.4548093863682244,0.07488996141768622,-0.5551309564264267,0.6423765066196699,-0.07724536910458747,0.8266406890265681,-0.06469771852046785,1.0,0.6077489018564854,-0.3915729938239903,-0.296685931065345,0.395973689096235,0.0023969229769013776,-0.3442326107039646,0.5842265645310638,0.31903820669537625,-0.07945638191002544,0.04995750949951417,0.8129426166927946,-0.16860304541261015,-0.04946310748160302,0.008415945774182544,-0.16488300161264183,0.3046290899897707,0.07516552588347675,0.40311911353894214,0.38257593713299115,0.19908968427655457,-0.1471714233187895,0.23314191953582544
8,0.07751419586039025,0.031257282369660695,-0.048778558663911877,-0.07029515564979602,0.005620691844794618,0.008750756212107769,0.06606966541487722,-0.00456459269011608,-0.07561903431873036,-0.0015034327947948093,0.10015379647533867,-0.46662888382311163,-0.008275291410071125,0.4880913597585448,-0.14686675878409752,0.7929773847361146,-0.544768504743016,0.6077489018564854,1.0,0.04095001026969519,-0.06781720072378737,-0.00805666472922694,-0.14054303448001804,0.05933969390387804,0.6762501235206237,-0.14637930363721685,-0.13003797760527025,-0.36437921701434806,0.36353591827664794,-0.23603677732815154,-0.038048096149065895,-0.0011278421996587088,-0.03696255191739165,-0.22776082351040206,-0.034629275521339535,0.4820731470256589,0.434084204271724,-0.0532916075809159,-0.3087871417426159,0.05381522590623087
